#cue,target,fsg,bsg,qfr,tfr,jcn,jcn_sensed
advil,medicine,0.093,0,0,30,7.663422,7.267525428
advil,pain,0.16,0,0,88,19.981617,19.63815363
advil,pill,0.067,0,0,15,11.152375,10.75086122
advil,relief,0.02,0,0,66,19.325165,24.6345224
advil,tylenol,0.18,0.046,0,0,15.326845,14.53505086
affair,adultery,0.068,0.033,33,3,20.096059,22.85036753
affair,divorce,0.014,0,33,29,17.964287,10.90576266
affair,event,0.034,0,33,81,2.757624,3.212888918
affair,family,0.027,0,33,331,13.221917,13.9568907
affair,happening,0.014,0,33,28,3.016901,3.880935705
affair,love,0.135,0,33,232,15.490667,18.81612689
affair,lust,0.014,0,33,5,19.402782,22.15722035
affair,marriage,0.068,0,33,95,9.871376,16.41039545
affair,party,0.02,0,33,216,0.343449,0.394008508
affair,people,0.02,0,33,847,10.898707,15.37399025
affair,relationship,0.027,0,33,88,0.864716,0.773776915
affair,romance,0.02,0,33,13,3.246964,3.244697323
affair,sex,0.074,0,33,84,13.683822,16.45677678
affair,woman,0.014,0,33,224,13.197313,16.11795668
affection,care,0.027,0,1,162,6.801888,6.837971993
affection,love,0.8,0,1,232,6.907508,7.003577552
africa,asia,0.028,0.145,45,44,3.338597,3.404594804
africa,continent,0.234,0.169,45,17,2.515527,2.518644789
africa,country,0.076,0,45,324,15.160014,14.98810714
africa,desert,0.021,0,45,21,20.628339,20.22663287
africa,elephant,0.021,0,45,7,19.88981,19.73265684
africa,freedom,0.014,0,45,128,19.043629,20.54207357
africa,green,0.014,0,45,116,18.129736,19.29092406
africa,jungle,0.048,0.034,45,20,9.88113,20.90036197
africa,lion,0.014,0.021,45,17,19.62593,19.67203221
africa,south,0.034,0,45,240,18.909311,18.97667496
afternoon,class,0.014,0,106,207,16.209032,17.92465004
afternoon,day,0.055,0,106,686,2.295573,2.394934501
afternoon,evening,0.123,0,106,133,4.301279,4.514457022
afternoon,home,0.014,0,106,547,16.921619,17.02588854
afternoon,lunch,0.068,0.019,106,33,20.300035,20.17254048
afternoon,midnight,0.014,0,106,23,21.229169,21.12162103
afternoon,morning,0.068,0.041,106,211,1.958085,1.936279472
afternoon,night,0.144,0,106,411,10.272319,10.02382657
afternoon,soap,0.021,0,106,22,21.053961,20.56200524
afternoon,sun,0.075,0,106,112,11.26253,11.00465582
afternoon,sunday,0.014,0,106,101,11.26253,11.00465582
afternoon,sunset,0.014,0,106,14,21.365695,21.25515242
age,beauty,0.01,0,227,71,11.634401,18.94101986
age,birthday,0.015,0.086,227,18,11.050334,15.79734266
age,era,0.01,0.036,227,30,1.658122,6.442331742
age,limit,0.01,0,227,48,9.664077,11.40639056
age,number,0.025,0,227,472,6.724814,5.776704265
age,people,0.01,0,227,847,10.615599,16.44908984
age,sex,0.01,0,227,84,10.330365,15.31449895
age,time,0.046,0,227,1599,5.535352,6.41659119
age,weight,0.01,0.014,227,91,10.250733,17.39509535
age,wisdom,0.015,0.035,227,44,11.313497,16.10797968
age,year,0.102,0,227,660,6.638475,6.166345709
agency,building,0.014,0,56,160,8.731794,18.41052669
agency,bureau,0.014,0.013,56,43,0,4.77E-09
agency,business,0.068,0,56,392,3.559859,3.076800097
agency,company,0.088,0,56,290,5.753243,11.16015268
agency,corporation,0.034,0,56,90,6.243055,5.711767441
agency,employment,0.014,0.014,56,47,9.063471,13.16101129
agency,government,0.041,0,56,417,5.224251,15.8111823
agency,group,0.014,0,56,390,3.83293,15.58183581
agency,insurance,0.068,0,56,46,14.057185,14.01573832
agency,job,0.027,0,56,238,7.680728,10.92819849
agency,office,0.061,0,56,255,0,4.77E-09
agency,place,0.041,0,56,571,8.875871,11.3214577
agency,talent,0.014,0,56,40,15.954561,18.74747185
agency,work,0.081,0,56,760,6.909656,16.00059723
agenda,book,0.027,0,5,193,9.419921,19.23939804
agenda,calendar,0.034,0,5,28,8.923074,9.107993169
agenda,list,0.17,0.035,5,133,5.059679,5.180378069
agenda,meeting,0.034,0,5,159,18.248175,20.56938822
agenda,order,0.014,0,5,376,13.98308,18.43203289
agenda,plan,0.143,0,5,205,3.992654,4.078274092
agenda,roll,0.014,0,5,35,7.590536,7.758066452
agenda,schedule,0.259,0.028,5,36,0,4.77E-09
agenda,work,0.027,0,5,760,12.347203,20.25363278
agent,actor,0.021,0,44,24,7.462798,12.56403362
agent,authority,0.014,0,44,93,8.621805,12.4480347
agent,bond,0.014,0,44,46,11.300457,15.61958883
agent,fbi,0.123,0.098,44,0,17.011142,20.58036872
agent,government,0.021,0,44,417,12.042389,17.09847366
agent,insurance,0.068,0.021,44,46,15.05888,16.98733291
agent,model,0.014,0,44,77,8.250553,12.48687454
agent,money,0.014,0,44,265,14.210601,17.04353255
agent,officer,0.014,0,44,101,3.930246,3.902209816
agent,orange,0.014,0,44,23,15.081591,17.6818482
agent,person,0.027,0,44,175,3.379349,5.567841791
agent,police,0.014,0,44,155,13.712907,13.93783025
agent,spy,0.021,0.066,44,9,2.116254,3.145109675
agony,ecstasy,0.019,0,9,6,12.265273,22.09884343
agony,fear,0.019,0,9,127,9.633169,9.661404359
agony,misery,0.019,0,9,15,12.958404,20.15293328
agony,pain,0.649,0.032,9,88,1.464187,1.520444374
agreement,argument,0.021,0,106,63,7.179215,9.648297475
agreement,bet,0.014,0,106,20,14.188422,14.19246054
agreement,contract,0.151,0.212,106,60,1.083413,16.04463652
agreement,disagreement,0.164,0.059,106,11,5.079778,5.196304782
agreement,document,0.014,0.014,106,13,7.632656,9.301524166
agreement,harmony,0.021,0,106,33,0.390866,2.921966123
agriculture,cow,0.013,0,23,29,21.412359,22.35028645
agriculture,earth,0.013,0,23,150,16.848348,18.11146082
agriculture,farm,0.283,0,23,125,19.557989,19.27954548
agriculture,farmer,0.033,0.03,23,23,20.585026,21.98738095
agriculture,field,0.013,0,23,274,6.089318,7.302314883
agriculture,food,0.033,0,23,147,14.725806,17.64244686
agriculture,garden,0.013,0,23,60,16.303107,20.48832599
agriculture,grass,0.026,0,23,53,19.236318,21.90399934
agriculture,green,0.02,0,23,116,12.977238,18.94358725
agriculture,land,0.053,0,23,217,8.582365,19.45184548
agriculture,plant,0.164,0,23,125,16.250386,17.75568113
aids,disease,0.329,0.153,27,53,3.577165,3.859640189
aids,health,0.013,0,27,105,12.027326,12.34628981
aids,sex,0.033,0,27,84,18.112005,17.96467827
air,atmosphere,0.014,0.277,257,79,0,4.77E-09
air,balloon,0.014,0.189,257,10,13.861359,20.15306187
air,cloud,0.068,0,257,28,5.963207,19.17223262
air,condition,0.034,0.015,257,91,7.724274,15.43474214
air,life,0.014,0,257,715,6.681678,16.75039095
air,molecule,0.014,0,257,6,13.287094,16.11058609
air,oxygen,0.142,0.455,257,43,8.362393,5.675146409
air,plane,0.088,0.098,257,114,11.019769,17.33300661
air,pollution,0.054,0.164,257,6,12.233613,12.36666075
air,sky,0.047,0.017,257,58,14.657169,16.70591958
air,water,0.068,0.014,257,442,2.653801,2.834506656
air,wind,0.027,0.074,257,63,0.901029,17.14745057
aircraft,airplane,0.095,0.01,70,11,0.394292,0.527897608
aircraft,airport,0.02,0,70,19,13.417056,13.09603673
aircraft,flight,0.014,0,70,46,14.372566,18.83048332
aircraft,jet,0.014,0,70,29,2.424942,18.92229087
aircraft,pilot,0.054,0,70,44,12.427609,15.42383361
aircraft,plane,0.408,0,70,114,0.394292,0.527897608
aircraft,sky,0.014,0,70,58,16.490221,16.0127724
airplane,air,0.01,0,11,257,11.019769,17.33300661
airplane,aircraft,0.01,0.095,11,70,0.394292,0.527897608
airplane,airport,0.036,0,11,19,13.811392,13.62393434
airplane,bird,0.015,0,11,31,12.506253,16.5319743
airplane,boat,0.015,0,11,72,3.043732,3.121061474
airplane,car,0.02,0,11,274,4.531448,12.73279384
airplane,engine,0.01,0,11,50,7.082805,7.154503646
airplane,flight,0.051,0.669,11,46,14.766904,19.35838093
airplane,helicopter,0.015,0.072,11,1,3.881385,4.152655121
airplane,jet,0.086,0,11,29,2.030651,2.099509105
airplane,movie,0.02,0,11,29,17.266088,16.83757667
airplane,pilot,0.041,0,11,44,12.821828,15.95173121
airplane,sky,0.061,0,11,58,16.884476,16.54067001
airplane,train,0.01,0,11,82,6.901597,14.06940478
airplane,transportation,0.015,0.014,11,43,14.479114,14.33688415
airplane,trip,0.01,0.014,11,81,12.139016,16.97980993
airport,people,0.014,0,19,847,13.760458,14.86142767
airport,plane,0.757,0,19,114,13.811392,13.62393434
airport,trip,0.014,0,19,81,14.727541,17.65979903
alarm,bell,0.067,0.014,16,18,12.774002,23.02054933
alarm,clock,0.388,0.079,16,20,0.988611,1.155770703
alarm,fire,0.048,0,16,187,4.065636,19.03736387
alarm,fright,0.024,0,16,2,1.110377,3.02148477
alarm,morning,0.042,0,16,211,14.197689,20.86254547
alarm,ring,0.048,0,16,47,11.830959,20.28747549
alarm,sound,0.061,0,16,204,10.336024,14.89650352
album,music,0.1,0,6,216,8.91997,20.01356835
album,photo,0.153,0.031,6,5,10.619883,14.52489071
album,picture,0.193,0,6,162,9.988713,21.01931395
album,record,0.333,0.13,6,137,14.573011,18.68175143
album,tape,0.02,0,6,35,16.460363,16.455265
alcohol,beer,0.24,0.033,13,34,2.964781,1.996093689
alcohol,drug,0.116,0.02,13,24,1.665126,14.42316513
alcohol,fun,0.041,0,13,44,16.343074,20.92957948
alcohol,party,0.034,0,13,216,11.204733,18.3916803
alcohol,problem,0.014,0,13,313,15.468861,18.07029831
alcohol,vodka,0.014,0.117,13,0,7.618757,7.077498054
ale,beer,0.487,0.011,1,34,1.585884,0.446675377
ale,house,0.027,0,1,591,16.018453,16.69398238
ale,steak,0.087,0,1,10,16.363934,13.84417655
ale,wine,0.013,0,1,72,3.437879,3.57484651
algae,bacteria,0.034,0,7,8,4.81144,4.832280353
algae,biology,0.014,0,7,7,20.998257,20.12154227
algae,fungus,0.17,0.113,7,2,14.585977,14.22139547
algae,green,0.306,0,7,116,15.200109,18.21403932
algae,lake,0.034,0,7,54,17.735842,17.32469808
algae,mold,0.014,0.013,7,45,16.07717,16.12966002
algae,moss,0.02,0.02,7,9,17.630465,17.62515368
algae,ocean,0.02,0,7,34,18.248508,17.94679592
algae,plant,0.027,0,7,125,11.177431,10.99823218
algae,pond,0.027,0,7,25,18.381339,18.01547278
algae,pool,0.041,0,7,111,17.515282,18.49979647
algae,scum,0.034,0.014,7,0,20.730544,20.461355
algae,water,0.041,0,7,442,15.229277,16.32049042
algebra,calculus,0.079,0.02,2,0,2.582958,2.636909344
algebra,formula,0.014,0.02,2,59,14.118311,20.55275662
algebra,math,0.655,0.061,2,4,2.489284,2.481111579
algebra,number,0.043,0,2,472,15.928132,19.0177513
algebra,trigonometry,0.014,0.054,2,0,4.752016,4.742784143
allegiance,flag,0.291,0,4,16,17.983671,21.18453486
allegiance,friend,0.02,0,4,133,16.668889,19.83948345
allegiance,honor,0.014,0,4,66,14.846928,14.79456336
allegiance,loyalty,0.068,0,4,22,0,4.77E-09
allegiance,pledge,0.311,0.316,4,3,18.660546,18.39597585
allergy,dust,0.014,0.034,1,70,23.268801,22.54097625
allergy,itch,0.028,0,1,5,16.72101,24.52689174
allergy,medicine,0.028,0,1,30,20.903884,19.89842364
allergy,nose,0.034,0,1,60,23.437317,23.02281434
allergy,rash,0.014,0,1,1,26.957811,25.77965471
allergy,sinus,0.041,0.045,1,1,26.369917,26.06733678
allergy,skin,0.014,0,1,47,16.929067,23.17696502
allergy,symptom,0.014,0,1,5,20.719377,19.75378873
alley,back,0.014,0,8,967,15.186721,20.18600603
alley,bowling,0.014,0.048,8,0,25.040691,26.91463464
alley,building,0.014,0,8,160,13.403568,21.01321637
alley,cat,0.114,0,8,23,18.49865,20.76632857
alley,corridor,0.021,0,8,17,10.088985,10.08862477
alley,garbage,0.029,0,8,7,22.190662,22.23250341
alley,hall,0.014,0,8,152,10.397496,16.94422037
alley,lane,0.021,0.027,8,30,1.832583,1.84582669
alley,mug,0.021,0,8,1,18.977133,18.76637732
alley,road,0.071,0,8,197,5.312057,7.990246027
alley,street,0.207,0,8,244,3.823507,3.569532696
alley,trash,0.014,0,8,2,20.956013,20.60479253
